,backers_count,blurb,category.id,category.name,category.parent_id,category.position,category.slug,category.urls.web.discover,country,created_at,creator.avatar.medium,creator.avatar.small,creator.avatar.thumb,creator.id,creator.name,creator.slug,creator.urls.api.user,creator.urls.web.user,currency,currency_symbol,currency_trailing_code,deadline,disable_communication,goal,id,launched_at,location.country,location.displayable_name,location.id,location.is_root,location.name,location.short_name,location.slug,location.state,location.type,location.urls.api.nearby_projects,location.urls.web.discover,location.urls.web.location,name,photo.1024x768,photo.1536x1152,photo.ed,photo.full,photo.little,photo.med,photo.small,photo.thumb,pledged,profile.background_color,profile.background_image_attributes.id,profile.background_image_attributes.image_urls.default,profile.background_image_opacity,profile.blurb,profile.feature_image_attributes.id,profile.feature_image_attributes.image_urls.default,profile.id,profile.link_background_color,profile.link_text,profile.link_text_color,profile.link_url,profile.name,profile.project_id,profile.should_show_feature_image,profile.show_feature_image,profile.state,profile.state_changed_at,profile.text_color,slug,spotlight,state,state_changed_at,static_usd_rate,urls.web.project,urls.web.rewards,usd_pledged,duration
4054,114,"Loxet is a proximity lock, anti-theft protection and sharing device for your car. Made in the spirit of transparent technology.",337,Gadgets,16.0,7,technology/gadgets,http://www.kickstarter.com/discover/categories/technology/gadgets,US,1425033798,https://d15chbti7ht62o.cloudfront.net/avatars/11830762/kiss_digital_things_final.medium.jpg?1427808435,https://d15chbti7ht62o.cloudfront.net/avatars/11830762/kiss_digital_things_final.small.jpg?1427808435,https://d15chbti7ht62o.cloudfront.net/avatars/11830762/kiss_digital_things_final.thumb.jpg?1427808435,1481137985,KISS digital things,kissdigitalthings,https://api.kickstarter.com/v1/users/1481137985?signature=1428050413.f992e68c6763c2996141126ad8b705ef09c80507,https://www.kickstarter.com/profile/kissdigitalthings,USD,$,True,1431689903,False,25000.0,725001598,1427801903,US,"Las Vegas, NV",2436704.0,False,Las Vegas,"Las Vegas, NV",las-vegas-nv,NV,Town,https://api.kickstarter.com/v1/discover?signature=1428019086.4dbe95b9605e1a98996a9e8a144b7ff95bcae621&woe_id=2436704,https://www.kickstarter.com/discover/places/las-vegas-nv,https://www.kickstarter.com/locations/las-vegas-nv,"Loxet - protects, opens and locks your car",https://d15chbti7ht62o.cloudfront.net/projects/1696870/photo-1024x768.jpg?1427806196,https://d15chbti7ht62o.cloudfront.net/projects/1696870/photo-1536x1152.jpg?1427806196,https://d15chbti7ht62o.cloudfront.net/projects/1696870/photo-ed.jpg?1427806196,https://d15chbti7ht62o.cloudfront.net/projects/1696870/photo-full.jpg?1427806196,https://d15chbti7ht62o.cloudfront.net/projects/1696870/photo-little.jpg?1427806196,https://d15chbti7ht62o.cloudfront.net/projects/1696870/photo-med.jpg?1427806196,https://d15chbti7ht62o.cloudfront.net/projects/1696870/photo-small.jpg?1427806196,https://d15chbti7ht62o.cloudfront.net/projects/1696870/photo-thumb.jpg?1427806196,5012.0,,,,0.8,,,https://ksr-ugc.imgix.net/projects/1696870/photo-original.jpg?v=1427806196&w=1536&h=1152&fit=crop&auto=format&q=92&s=a71e0993f2d822a24babfb4db77b7a92,1735937,,,,,,1735937,True,False,inactive,1425915895,,loxet-protects-opens-and-locks-your-car,False,live,1427801903,1.0,https://www.kickstarter.com/projects/kissdigitalthings/loxet-protects-opens-and-locks-your-car?ref=category,https://www.kickstarter.com/projects/kissdigitalthings/loxet-protects-opens-and-locks-your-car/rewards,5012.0,45.0
2419,37,"A new play by Brandon Taitt.
Presented by The Theatre Cosmic. 
Premiering in August at the 2014 Minnesota Fringe Festival",285,Plays,17.0,5,theater/plays,http://www.kickstarter.com/discover/categories/theater/plays,US,1400733905,https://d15chbti7ht62o.cloudfront.net/avatars/6699030/TC-icon.medium.jpg?1369884973,https://d15chbti7ht62o.cloudfront.net/avatars/6699030/TC-icon.small.jpg?1369884973,https://d15chbti7ht62o.cloudfront.net/avatars/6699030/TC-icon.thumb.jpg?1369884973,1313939126,The Theatre Cosmic,theatrecosmic,https://api.kickstarter.com/v1/users/1313939126?signature=1428050367.3157d2ebf40d823f5f681c07d0647a89f8b18008,https://www.kickstarter.com/profile/theatrecosmic,USD,$,True,1405614823,False,1500.0,1442443797,1403022823,US,"Minneapolis, MN",2452078.0,False,Minneapolis,"Minneapolis, MN",minneapolis-mn,MN,Town,https://api.kickstarter.com/v1/discover?signature=1428019084.0c8bd1fb8af553f26b7b0da9dc4e98e10489901c&woe_id=2452078,https://www.kickstarter.com/discover/places/minneapolis-mn,https://www.kickstarter.com/locations/minneapolis-mn,AFTER LIFE: Minnesota Fringe Festival 2014,https://d15chbti7ht62o.cloudfront.net/projects/1010924/photo-1024x768.jpg?1402942954,https://d15chbti7ht62o.cloudfront.net/projects/1010924/photo-1536x1152.jpg?1402942954,https://d15chbti7ht62o.cloudfront.net/projects/1010924/photo-ed.jpg?1402942954,https://d15chbti7ht62o.cloudfront.net/projects/1010924/photo-full.jpg?1402942954,https://d15chbti7ht62o.cloudfront.net/projects/1010924/photo-little.jpg?1402942954,https://d15chbti7ht62o.cloudfront.net/projects/1010924/photo-med.jpg?1402942954,https://d15chbti7ht62o.cloudfront.net/projects/1010924/photo-small.jpg?1402942954,https://d15chbti7ht62o.cloudfront.net/projects/1010924/photo-thumb.jpg?1402942954,1788.57,,,,0.8,,,https://ksr-ugc.imgix.net/projects/1010924/photo-original.png?v=1402942954&w=1536&h=1152&fit=crop&auto=format&lossless=true&s=c724f85c39ac6595bb31f248361f925b,1034212,,,,,,1034212,True,False,inactive,1425915857,,after-life-minnesota-fringe-festival-2014,True,successful,1405614823,1.0,https://www.kickstarter.com/projects/theatrecosmic/after-life-minnesota-fringe-festival-2014?ref=category,https://www.kickstarter.com/projects/theatrecosmic/after-life-minnesota-fringe-festival-2014/rewards,1788.57,30.0
5528,271,"4.29 Billion+ Capacitor Combinations.
No Coding Required.",52,Hardware,16.0,8,technology/hardware,http://www.kickstarter.com/discover/categories/technology/hardware,US,1375307920,https://d15chbti7ht62o.cloudfront.net/avatars/1735337/1275126_10201306396314233_954133742_o.medium.jpg?1382896087,https://d15chbti7ht62o.cloudfront.net/avatars/1735337/1275126_10201306396314233_954133742_o.small.jpg?1382896087,https://d15chbti7ht62o.cloudfront.net/avatars/1735337/1275126_10201306396314233_954133742_o.thumb.jpg?1382896087,1409543838,Rakshak Talwar,raptorbird,https://api.kickstarter.com/v1/users/1409543838?signature=1428050491.562f06840e5f40fbe0316a26794393a90a97f8f6,https://www.kickstarter.com/profile/raptorbird,USD,$,True,1384557303,False,3000.0,1376426504,1383257703,US,"Houston, TX",2424766.0,False,Houston,"Houston, TX",houston-tx,TX,Town,https://api.kickstarter.com/v1/discover?signature=1428019090.d6697a98a08e8babc69b7ca8ceea04ff287c6f4f&woe_id=2424766,https://www.kickstarter.com/discover/places/houston-tx,https://www.kickstarter.com/locations/houston-tx,Programmable Capacitor,https://d15chbti7ht62o.cloudfront.net/projects/635367/photo-1024x768.jpg?1397829177,https://d15chbti7ht62o.cloudfront.net/projects/635367/photo-1536x1152.jpg?1397829177,https://d15chbti7ht62o.cloudfront.net/projects/635367/photo-ed.jpg?1397829177,https://d15chbti7ht62o.cloudfront.net/projects/635367/photo-full.jpg?1397829177,https://d15chbti7ht62o.cloudfront.net/projects/635367/photo-little.jpg?1397829177,https://d15chbti7ht62o.cloudfront.net/projects/635367/photo-med.jpg?1397829177,https://d15chbti7ht62o.cloudfront.net/projects/635367/photo-small.jpg?1397829177,https://d15chbti7ht62o.cloudfront.net/projects/635367/photo-thumb.jpg?1397829177,7445.14,,,,0.8,,,https://ksr-ugc.imgix.net/projects/635367/photo-original.jpg?v=1397829177&w=1536&h=1152&fit=crop&auto=format&q=92&s=26f9ca202b410997c0b4f8e85c6ff0dc,650029,,,,,,650029,True,False,inactive,1425915835,,programmable-capacitor,True,successful,1384557314,1.0,https://www.kickstarter.com/projects/raptorbird/programmable-capacitor?ref=category,https://www.kickstarter.com/projects/raptorbird/programmable-capacitor/rewards,7445.14,15.0416666667
30783,90,Pillows is a female-driven comedic short film about catching up with old friends. Starring Ginny Leise & SJ Son & directed by Ann Carr.,32,Shorts,11.0,16,film & video/shorts,http://www.kickstarter.com/discover/categories/film%20&%20video/shorts,US,1426196593,https://d15chbti7ht62o.cloudfront.net/avatars/14453961/924.medium.jpg?1426273484,https://d15chbti7ht62o.cloudfront.net/avatars/14453961/924.small.jpg?1426273484,https://d15chbti7ht62o.cloudfront.net/avatars/14453961/924.thumb.jpg?1426273484,1364202017,Ginny Leise,,https://api.kickstarter.com/v1/users/1364202017?signature=1428052951.f9ba97043d656f3fb0ecd2cde0744a48168a334a,https://www.kickstarter.com/profile/1364202017,USD,$,True,1428867137,False,5250.0,394245521,1426275137,US,"Astoria, Queens, NY",2356876.0,False,Astoria,"Astoria, NY",astoria-queens-ny,NY,Suburb,https://api.kickstarter.com/v1/discover?signature=1428019108.c1092eb99bdca5fd7189fa6bf0adf67bce824dba&woe_id=2356876,https://www.kickstarter.com/discover/places/astoria-queens-ny,https://www.kickstarter.com/locations/astoria-queens-ny,Post-Production for the Short Film 'Pillows',https://d15chbti7ht62o.cloudfront.net/projects/1726532/photo-1024x768.jpg?1426196849,https://d15chbti7ht62o.cloudfront.net/projects/1726532/photo-1536x1152.jpg?1426196849,https://d15chbti7ht62o.cloudfront.net/projects/1726532/photo-ed.jpg?1426196849,https://d15chbti7ht62o.cloudfront.net/projects/1726532/photo-full.jpg?1426196849,https://d15chbti7ht62o.cloudfront.net/projects/1726532/photo-little.jpg?1426196849,https://d15chbti7ht62o.cloudfront.net/projects/1726532/photo-med.jpg?1426196849,https://d15chbti7ht62o.cloudfront.net/projects/1726532/photo-small.jpg?1426196849,https://d15chbti7ht62o.cloudfront.net/projects/1726532/photo-thumb.jpg?1426196849,3550.0,,,,0.8,,,https://ksr-ugc.imgix.net/projects/1726532/photo-original.png?v=1426196849&w=1536&h=1152&fit=crop&auto=format&lossless=true&s=05b2ad66574b527cd21a33c3244ee24b,1766108,,,,,,1766108,True,False,inactive,1426196593,,post-production-for-the-short-film-pillows,False,live,1426275137,1.0,https://www.kickstarter.com/projects/1364202017/post-production-for-the-short-film-pillows?ref=category,https://www.kickstarter.com/projects/1364202017/post-production-for-the-short-film-pillows/rewards,3550.0,30.0
33623,310,Shirley Clarke's groundbreaking documentary film is in jeopardy - help us restore the print and release it for everyone to see!,30,Documentary,11.0,4,film & video/documentary,http://www.kickstarter.com/discover/categories/film%20&%20video/documentary,US,1348246274,https://d15chbti7ht62o.cloudfront.net/avatars/1015882/*noname.medium.jpg?1348276041,https://d15chbti7ht62o.cloudfront.net/avatars/1015882/*noname.small.jpg?1348276041,https://d15chbti7ht62o.cloudfront.net/avatars/1015882/*noname.thumb.jpg?1348276041,870959691,Dennis Doros,,https://api.kickstarter.com/v1/users/870959691?signature=1428053196.f4ebff737ff022be0cb31a64d782f6a81d1d430a,https://www.kickstarter.com/profile/870959691,USD,$,True,1355174165,False,25000.0,152835685,1349986565,US,"New York, NY",2459115.0,False,New York,"New York, NY",new-york-ny,NY,Town,https://api.kickstarter.com/v1/discover?signature=1428019083.58aec6dbee5f76727ada1d649b750094af21ac45&woe_id=2459115,https://www.kickstarter.com/discover/places/new-york-ny,https://www.kickstarter.com/locations/new-york-ny,Portrait of Jason Film Restoration,https://d15chbti7ht62o.cloudfront.net/projects/341820/photo-1024x768.jpg?1397797965,https://d15chbti7ht62o.cloudfront.net/projects/341820/photo-1536x1152.jpg?1397797965,https://d15chbti7ht62o.cloudfront.net/projects/341820/photo-ed.jpg?1397797965,https://d15chbti7ht62o.cloudfront.net/projects/341820/photo-full.jpg?1397797965,https://d15chbti7ht62o.cloudfront.net/projects/341820/photo-little.jpg?1397797965,https://d15chbti7ht62o.cloudfront.net/projects/341820/photo-med.jpg?1397797965,https://d15chbti7ht62o.cloudfront.net/projects/341820/photo-small.jpg?1397797965,https://d15chbti7ht62o.cloudfront.net/projects/341820/photo-thumb.jpg?1397797965,26714.0,,,,0.8,,,https://ksr-ugc.imgix.net/projects/341820/photo-original.jpeg?v=1397797965&w=1536&h=1152&fit=crop&auto=format&q=92&s=cd2ca7133dd29443f5471c7400840df2,349719,,,,,,349719,True,False,inactive,1425915819,,portrait-of-jason-film-restoration,True,successful,1355174165,1.0,https://www.kickstarter.com/projects/870959691/portrait-of-jason-film-restoration?ref=category,https://www.kickstarter.com/projects/870959691/portrait-of-jason-film-restoration/rewards,26714.0,60.0416666667
18883,184,"Taraf de Locos is almost done with its first album! We hope to release it soon, and then tour the country to bring our music to you!",44,World Music,14.0,17,music/world music,http://www.kickstarter.com/discover/categories/music/world%20music,US,1418781548,https://d15chbti7ht62o.cloudfront.net/avatars/13388517/Wide_1_copy.medium.jpg?1418784373,https://d15chbti7ht62o.cloudfront.net/avatars/13388517/Wide_1_copy.small.jpg?1418784373,https://d15chbti7ht62o.cloudfront.net/avatars/13388517/Wide_1_copy.thumb.jpg?1418784373,650389905,Taraf de Locos,,https://api.kickstarter.com/v1/users/650389905?signature=1428051927.15cfdaaca95e1fe2d1fd229bc777aa3fe6dfcdc5,https://www.kickstarter.com/profile/650389905,USD,$,True,1422259140,False,8500.0,535622040,1419460396,US,"San Francisco, CA",2487956.0,False,San Francisco,"San Francisco, CA",san-francisco-ca,CA,Town,https://api.kickstarter.com/v1/discover?signature=1428019085.931e7d86c309e76a472b036668b16a42aec5d845&woe_id=2487956,https://www.kickstarter.com/discover/places/san-francisco-ca,https://www.kickstarter.com/locations/san-francisco-ca,Taraf de Locos - Debut Album & Tour,https://d15chbti7ht62o.cloudfront.net/projects/1545620/photo-1024x768.jpg?1418781657,https://d15chbti7ht62o.cloudfront.net/projects/1545620/photo-1536x1152.jpg?1418781657,https://d15chbti7ht62o.cloudfront.net/projects/1545620/photo-ed.jpg?1418781657,https://d15chbti7ht62o.cloudfront.net/projects/1545620/photo-full.jpg?1418781657,https://d15chbti7ht62o.cloudfront.net/projects/1545620/photo-little.jpg?1418781657,https://d15chbti7ht62o.cloudfront.net/projects/1545620/photo-med.jpg?1418781657,https://d15chbti7ht62o.cloudfront.net/projects/1545620/photo-small.jpg?1418781657,https://d15chbti7ht62o.cloudfront.net/projects/1545620/photo-thumb.jpg?1418781657,9380.0,,,,0.8,,,https://ksr-ugc.imgix.net/projects/1545620/photo-original.png?v=1418781657&w=1536&h=1152&fit=crop&auto=format&lossless=true&s=7478630655a12fc012414d3636f38d27,1581214,,,,,,1581214,True,False,inactive,1425915886,,taraf-de-locos-debut-album-and-tour,True,successful,1422259140,1.0,https://www.kickstarter.com/projects/650389905/taraf-de-locos-debut-album-and-tour?ref=category,https://www.kickstarter.com/projects/650389905/taraf-de-locos-debut-album-and-tour/rewards,9380.0,32.3928703704
11786,23,"Through the Black Hole is a science fiction, futuristic novel about Earth's destruction, the sun's death, and a sinister black hole.",18,Publishing,,13,publishing,http://www.kickstarter.com/discover/categories/publishing,US,1388112222,https://d15chbti7ht62o.cloudfront.net/avatars/8931967/025.medium.jpg?1388946201,https://d15chbti7ht62o.cloudfront.net/avatars/8931967/025.small.jpg?1388946201,https://d15chbti7ht62o.cloudfront.net/avatars/8931967/025.thumb.jpg?1388946201,635316322,Kristen Smith,,https://api.kickstarter.com/v1/users/635316322?signature=1428051285.6c8534d13107682d91c0b252288ab66882551f81,https://www.kickstarter.com/profile/635316322,USD,$,True,1394314922,False,9400.0,1375325634,1389130922,US,"Worcester, MA",2523945.0,False,Worcester,"Worcester, MA",worcester-ma,MA,Town,https://api.kickstarter.com/v1/discover?signature=1428019107.e79b3f23a1b51d4e77b30c1a4ccb6363c38ce232&woe_id=2523945,https://www.kickstarter.com/discover/places/worcester-ma,https://www.kickstarter.com/locations/worcester-ma,Through the Black Hole,https://d15chbti7ht62o.cloudfront.net/projects/808138/photo-1024x768.jpg?1397861465,https://d15chbti7ht62o.cloudfront.net/projects/808138/photo-1536x1152.jpg?1397861465,https://d15chbti7ht62o.cloudfront.net/projects/808138/photo-ed.jpg?1397861465,https://d15chbti7ht62o.cloudfront.net/projects/808138/photo-full.jpg?1397861465,https://d15chbti7ht62o.cloudfront.net/projects/808138/photo-little.jpg?1397861465,https://d15chbti7ht62o.cloudfront.net/projects/808138/photo-med.jpg?1397861465,https://d15chbti7ht62o.cloudfront.net/projects/808138/photo-small.jpg?1397861465,https://d15chbti7ht62o.cloudfront.net/projects/808138/photo-thumb.jpg?1397861465,9512.0,,,,0.8,,,https://ksr-ugc.imgix.net/projects/808138/photo-original.png?v=1397861465&w=1536&h=1152&fit=crop&auto=format&lossless=true&s=16219fe3fa12fcb56d8eeaa0ae880c12,826780,,,,,,826780,True,False,inactive,1425915845,,through-the-black-hole,True,successful,1394314924,1.0,https://www.kickstarter.com/projects/635316322/through-the-black-hole?ref=category,https://www.kickstarter.com/projects/635316322/through-the-black-hole/rewards,9512.0,60.0
14519,1,"I'm putting together a coffee table book, one like no other.",276,Fine Art,15.0,2,photography/fine art,http://www.kickstarter.com/discover/categories/photography/fine%20art,AU,1424161437,https://d15chbti7ht62o.cloudfront.net/avatars/14120546/images_(8).medium.jpg?1424219150,https://d15chbti7ht62o.cloudfront.net/avatars/14120546/images_(8).small.jpg?1424219150,https://d15chbti7ht62o.cloudfront.net/avatars/14120546/images_(8).thumb.jpg?1424219150,1789884505,Vanessa,arcticregion,https://api.kickstarter.com/v1/users/1789884505?signature=1428051546.95015b0061097d9a5bc23495bb2546d7e5dd0d4f,https://www.kickstarter.com/profile/arcticregion,AUD,$,True,1425511371,False,1000.0,1614107863,1424215371,AU,"Sydney, AU",1105779.0,False,Sydney,"Sydney, AU",sydney-au,NSW,Town,https://api.kickstarter.com/v1/discover?signature=1428019087.1698b86a38c755daaf619bb7bed6413aa7b1f1a8&woe_id=1105779,https://www.kickstarter.com/discover/places/sydney-au,https://www.kickstarter.com/locations/sydney-au,A Year of Feces,https://d15chbti7ht62o.cloudfront.net/projects/1672642/photo-1024x768.jpg?1424162274,https://d15chbti7ht62o.cloudfront.net/projects/1672642/photo-1536x1152.jpg?1424162274,https://d15chbti7ht62o.cloudfront.net/projects/1672642/photo-ed.jpg?1424162274,https://d15chbti7ht62o.cloudfront.net/projects/1672642/photo-full.jpg?1424162274,https://d15chbti7ht62o.cloudfront.net/projects/1672642/photo-little.jpg?1424162274,https://d15chbti7ht62o.cloudfront.net/projects/1672642/photo-med.jpg?1424162274,https://d15chbti7ht62o.cloudfront.net/projects/1672642/photo-small.jpg?1424162274,https://d15chbti7ht62o.cloudfront.net/projects/1672642/photo-thumb.jpg?1424162274,100.0,,,,0.8,,,https://ksr-ugc.imgix.net/projects/1672642/photo-original.gif?v=1424162274&w=1536&h=1152&fit=crop&auto=format&frame=1&q=92&s=5f5a2c75d94b1c7b5621921d7e8c3212,1711157,,,,,,1711157,True,False,inactive,1425915894,,a-year-of-feces,False,failed,1425511375,0.77856456,https://www.kickstarter.com/projects/arcticregion/a-year-of-feces?ref=category,https://www.kickstarter.com/projects/arcticregion/a-year-of-feces/rewards,77.856456,15.0
18406,49,"Cage, Unlocked: A limited edition CD of three classic John Cage pieces recorded live at the Avant Music Festival. Out 9/5/12",36,Classical Music,14.0,3,music/classical music,http://www.kickstarter.com/discover/categories/music/classical%20music,US,1341163904,https://d15chbti7ht62o.cloudfront.net/avatars/3500/am_avatar.medium.jpg?1320102653,https://d15chbti7ht62o.cloudfront.net/avatars/3500/am_avatar.small.jpg?1320102653,https://d15chbti7ht62o.cloudfront.net/avatars/3500/am_avatar.thumb.jpg?1320102653,1778445613,Avant Media,avantmedia,https://api.kickstarter.com/v1/users/1778445613?signature=1428051885.8022a80d52c92376a3f3ff1a2898749cfd4716cd,https://www.kickstarter.com/profile/avantmedia,USD,$,True,1344225540,False,1700.0,1704934297,1341933180,US,"New York, NY",2459115.0,False,New York,"New York, NY",new-york-ny,NY,Town,https://api.kickstarter.com/v1/discover?signature=1428019083.58aec6dbee5f76727ada1d649b750094af21ac45&woe_id=2459115,https://www.kickstarter.com/discover/places/new-york-ny,https://www.kickstarter.com/locations/new-york-ny,John Cage at 100: A Live CD,https://d15chbti7ht62o.cloudfront.net/projects/240579/photo-1024x768.jpg?1397788316,https://d15chbti7ht62o.cloudfront.net/projects/240579/photo-1536x1152.jpg?1397788316,https://d15chbti7ht62o.cloudfront.net/projects/240579/photo-ed.jpg?1397788316,https://d15chbti7ht62o.cloudfront.net/projects/240579/photo-full.jpg?1397788316,https://d15chbti7ht62o.cloudfront.net/projects/240579/photo-little.jpg?1397788316,https://d15chbti7ht62o.cloudfront.net/projects/240579/photo-med.jpg?1397788316,https://d15chbti7ht62o.cloudfront.net/projects/240579/photo-small.jpg?1397788316,https://d15chbti7ht62o.cloudfront.net/projects/240579/photo-thumb.jpg?1397788316,1725.0,,,,0.8,,,https://ksr-ugc.imgix.net/projects/240579/photo-original.jpg?v=1397788316&w=1536&h=1152&fit=crop&auto=format&q=92&s=493a769b473fa8c33e8a4ec3c3ce484f,246155,,,,,,246155,True,False,inactive,1425915813,,john-cage-at-100-a-live-cd,True,successful,1344225542,1.0,https://www.kickstarter.com/projects/avantmedia/john-cage-at-100-a-live-cd?ref=category,https://www.kickstarter.com/projects/avantmedia/john-cage-at-100-a-live-cd/rewards,1725.0,26.5319444444
48822,2,13 series comic...action/drama/scifi,250,Comic Books,3.0,2,comics/comic books,http://www.kickstarter.com/discover/categories/comics/comic%20books,US,1425892468,https://d15chbti7ht62o.cloudfront.net/avatars/11720395/fb_profile_picture.medium.jpg?1406790900,https://d15chbti7ht62o.cloudfront.net/avatars/11720395/fb_profile_picture.small.jpg?1406790900,https://d15chbti7ht62o.cloudfront.net/avatars/11720395/fb_profile_picture.thumb.jpg?1406790900,1237224100,Eric Solis,,https://api.kickstarter.com/v1/users/1237224100?signature=1428054485.6262e9592c7986c64c018218f49e4156cebb5484,https://www.kickstarter.com/profile/1237224100,USD,$,True,1428505074,False,49999.0,279527673,1425913074,US,"Long Beach, CA",2441472.0,False,Long Beach,"Long Beach, CA",long-beach-ca,CA,Town,https://api.kickstarter.com/v1/discover?signature=1428019097.38afdc4f6f1b3663bfd33022072c3d27d25f0b0a&woe_id=2441472,https://www.kickstarter.com/discover/places/long-beach-ca,https://www.kickstarter.com/locations/long-beach-ca,XL,https://d15chbti7ht62o.cloudfront.net/projects/1718777/photo-1024x768.jpg?1425893291,https://d15chbti7ht62o.cloudfront.net/projects/1718777/photo-1536x1152.jpg?1425893291,https://d15chbti7ht62o.cloudfront.net/projects/1718777/photo-ed.jpg?1425893291,https://d15chbti7ht62o.cloudfront.net/projects/1718777/photo-full.jpg?1425893291,https://d15chbti7ht62o.cloudfront.net/projects/1718777/photo-little.jpg?1425893291,https://d15chbti7ht62o.cloudfront.net/projects/1718777/photo-med.jpg?1425893291,https://d15chbti7ht62o.cloudfront.net/projects/1718777/photo-small.jpg?1425893291,https://d15chbti7ht62o.cloudfront.net/projects/1718777/photo-thumb.jpg?1425893291,32.0,,,,0.8,,,https://ksr-ugc.imgix.net/projects/1718777/photo-original.jpg?v=1425893291&w=1536&h=1152&fit=crop&auto=format&q=92&s=3c46e59be14037ad03b64caa1de99dfa,1758350,,,,,,1758350,True,False,inactive,1425915896,,xl,False,live,1425913074,1.0,https://www.kickstarter.com/projects/1237224100/xl?ref=category,https://www.kickstarter.com/projects/1237224100/xl/rewards,32.0,30.0
49855,60,"The Dandelion King, is a trans-media graphic novel; including short films & app. This divorce memoir chronicles a history of the 1970s.",252,Graphic Novels,3.0,4,comics/graphic novels,http://www.kickstarter.com/discover/categories/comics/graphic%20novels,US,1411678403,https://d15chbti7ht62o.cloudfront.net/avatars/8652922/HeideHappyBookstore.medium.jpg?1412804407,https://d15chbti7ht62o.cloudfront.net/avatars/8652922/HeideHappyBookstore.small.jpg?1412804407,https://d15chbti7ht62o.cloudfront.net/avatars/8652922/HeideHappyBookstore.thumb.jpg?1412804407,776330070,Heide F. Solbrig,,https://api.kickstarter.com/v1/users/776330070?signature=1428054572.8f7a1fba52fd067d21051ad31bcd5d23cc299df9,https://www.kickstarter.com/profile/776330070,USD,$,True,1415560391,False,2000.0,1169819392,1412964791,US,"Somerville, MA",2495739.0,False,Somerville,"Somerville, MA",somerville-ma,MA,Town,https://api.kickstarter.com/v1/discover?signature=1428019100.88d4241d7e121b2c0fda023c196302c07bed7c66&woe_id=2495739,https://www.kickstarter.com/discover/places/somerville-ma,https://www.kickstarter.com/locations/somerville-ma,The Dandelion King: Love and Loss Waiting in the Gas Line.,https://d15chbti7ht62o.cloudfront.net/projects/1351667/photo-1024x768.jpg?1412956846,https://d15chbti7ht62o.cloudfront.net/projects/1351667/photo-1536x1152.jpg?1412956846,https://d15chbti7ht62o.cloudfront.net/projects/1351667/photo-ed.jpg?1412956846,https://d15chbti7ht62o.cloudfront.net/projects/1351667/photo-full.jpg?1412956846,https://d15chbti7ht62o.cloudfront.net/projects/1351667/photo-little.jpg?1412956846,https://d15chbti7ht62o.cloudfront.net/projects/1351667/photo-med.jpg?1412956846,https://d15chbti7ht62o.cloudfront.net/projects/1351667/photo-small.jpg?1412956846,https://d15chbti7ht62o.cloudfront.net/projects/1351667/photo-thumb.jpg?1412956846,3361.0,,,,0.8,,,https://ksr-ugc.imgix.net/projects/1351667/photo-original.jpg?v=1412956846&w=1536&h=1152&fit=crop&auto=format&q=92&s=85997ca72d74fad1bb59e6b2478f89db,1382798,,,,,,1382798,True,False,inactive,1425915876,,the-dandelion-king-love-and-loss-waiting-in-the-ga,True,successful,1415560392,1.0,https://www.kickstarter.com/projects/776330070/the-dandelion-king-love-and-loss-waiting-in-the-ga?ref=category,https://www.kickstarter.com/projects/776330070/the-dandelion-king-love-and-loss-waiting-in-the-ga/rewards,3361.0,30.0416666667
